team_code,wins,losses,Offensive Spending,Defensive Spending,Total Spending,QB Spending,% on QB,Cleaned QB%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwe2019,12,4,81412154,81629439,163041593,22535204,0.138217516,13.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buf2019,10,6,71454855,78780203,150235058,6713826,0.04468881,4.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyj2019,7,9,79201562,82873341,162074903,9491711,0.058563731,5.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mia2019,5,11,43228787,65007906,108236693,7119898,0.065780816,6.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rav2019,14,2,52652735,94510338,147163073,4187820,0.028457003,2.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pit2019,8,8,78526317,82676956,161203273,27991392,0.173640345,17.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cle2019,6,10,94243995,86431290,180675285,11829075,0.065471462,6.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cin2019,2,14,97462995,67210925,164673920,17389080,0.105597049,10.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htx2019,10,6,77962801,84093912,162056713,7833793,0.048339824,4.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oti2019,9,7,89947608,84231844,174179452,23283000,0.133672484,13.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clt2019,7,9,89494167,73398143,162892310,11793516,0.072400692,7.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jax2019,6,10,74043609,78377119,152420728,13149963,0.086274112,8.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kan2019,12,4,85279885,57500734,142780619,9288808,0.065056505,6.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
den2019,7,9,49965758,90415671,140381429,6936162,0.049409399,4.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rai2019,7,9,94771614,54830949,149602563,25688481,0.171711503,17.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sdg2019,5,11,101688038,70906182,172594220,27064655,0.1568109,15.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
